Date,Volume,Open,High,Low,Close,ATR,CC,ODR,Top,Btm,Buy,Sell,Trend,WM,Band,last_pivot
2015-11-13,543671,0.907721996307373,0.9173089861869812,0.8460230231285095,0.9040960073471069,0.13836330604060296,0.009361281226590856,False,False,False,False,False,1.0,1.2066600322723389,5.0,0.791828989982605
2015-11-14,372514,0.9054690003395081,0.9061130285263062,0.876908004283905,0.8888120055198669,0.13290539195069287,-0.01690528627826582,False,False,False,False,False,1.0,1.2066600322723389,5.0,0.791828989982605
2015-11-15,411848,0.8912169933319092,0.9215160012245178,0.8749570250511169,0.9063680171966553,0.12858807116182827,0.01975222158089518,False,False,False,False,False,1.0,1.2066600322723389,5.0,0.791828989982605
2015-11-16,620945,0.9061660170555115,0.9447320103645325,0.8919709920883179,0.928961992263794,0.12479671851754759,0.0249280365574025,False,False,False,False,False,1.0,1.2066600322723389,5.0,0.791828989982605
2015-11-17,1145440,0.92494797706604,1.0329500436782837,0.9057940244674683,1.0079799890518188,0.12491468355221098,0.08506052717556867,False,False,False,False,False,1.0,1.2066600322723389,5.0,0.791828989982605
2015-11-18,681104,0.9932140111923218,1.0115699768066406,0.9405159950256348,0.9933189749717712,0.12222164846365073,-0.014544945573610857,False,False,False,False,False,1.0,1.2066600322723389,5.0,0.791828989982605
2015-11-19,443528,0.9887130260467529,1.0079699754714966,0.9374979734420776,0.9555320143699646,0.11963416614193914,-0.03804111423813328,False,False,False,False,False,1.0,1.2066600322723389,5.0,0.791828989982605
2015-11-20,614335,0.9557350277900696,0.9557350277900696,0.898576021194458,0.9249200224876404,0.11651040816462277,-0.0320365947157808,False,False,False,False,False,1.0,1.2066600322723389,5.0,0.791828989982605
2015-11-21,455976,0.9287580251693726,0.9787430167198181,0.9209399819374084,0.976140022277832,0.11357503949551212,0.05537776082782986,False,False,False,False,False,1.0,1.2066600322723389,5.0,0.791828989982605
2015-11-22,372173,0.979764997959137,0.9841319918632507,0.958981990814209,0.9680179953575134,0.1091537875731886,-0.008320555181587364,False,False,False,False,False,1.0,1.2066600322723389,5.0,0.791828989982605
2015-11-23,441875,0.9674929976463318,0.969057023525238,0.9338700175285339,0.9469689726829529,0.10545544849436438,-0.021744453900143235,False,False,False,False,False,1.0,1.2066600322723389,5.0,0.791828989982605
2015-11-24,524195,0.9464420080184937,0.9480550289154053,0.8959310054779053,0.9001910090446472,0.10278887724152115,-0.04939756738362222,False,False,False,False,False,1.0,1.2066600322723389,4.0,0.791828989982605
2015-11-25,622991,0.8938270211219788,0.8994929790496826,0.8511059880256653,0.8635370135307312,0.10010368443039419,-0.040718020004238964,False,False,False,False,False,1.0,1.2066600322723389,4.0,0.791828989982605
2015-11-26,947473,0.863273024559021,0.903643012046814,0.8043599724769592,0.8841829895973206,0.10006265218736722,0.023908617399240883,False,False,False,False,False,1.0,1.2066600322723389,4.0,0.791828989982605
2015-11-27,403813,0.882099986076355,0.9000509977340698,0.8606950044631958,0.867950975894928,0.09702731924154256,-0.018358206268800803,False,False,False,False,False,1.0,1.2066600322723389,4.0,0.791828989982605
2015-11-28,462464,0.8681020140647888,0.9292929768562317,0.8621219992637634,0.9157029986381531,0.09553450215908885,0.055016958410570194,False,False,False,False,False,1.0,1.2066600322723389,4.0,0.791828989982605
2015-11-29,448358,0.914143979549408,0.914152979850769,0.8605329990386963,0.8786140084266663,0.09351627703110724,-0.04050329666567232,False,False,False,False,False,1.0,1.2066600322723389,4.0,0.791828989982605
2015-11-30,784439,0.879951000213623,0.8950539827346802,0.8476960062980652,0.8731189966201782,0.09120836200138263,-0.006254181874846165,False,False,False,False,False,1.0,1.2066600322723389,4.0,0.791828989982605
2015-12-01,652857,0.8783159852027893,0.8867359757423401,0.8539369702339172,0.8748000264167786,0.08828789417673465,0.0019253157967098478,False,False,False,False,False,1.0,1.2066600322723389,4.0,0.791828989982605
2015-12-02,506307,0.8731709718704224,0.878017008304596,0.8189240097999573,0.8212100267410278,0.08682814939312984,-0.06125971428608412,False,False,False,False,False,1.0,1.2066600322723389,3.0,0.791828989982605
2015-12-03,539969,0.8185459971427917,0.837664008140564,0.7850859761238098,0.8121430277824402,0.08511564352431106,-0.01104102320154321,False,False,False,False,False,1.0,1.2066600322723389,3.0,0.791828989982605
2015-12-04,241278,0.8120819926261902,0.8595749735832214,0.8023729920387268,0.8400409817695618,0.08371996042532023,0.03435103551069951,False,False,False,False,False,1.0,1.2066600322723389,3.0,0.791828989982605
2015-12-05,232743,0.8411949872970581,0.8728209733963013,0.8244439959526062,0.8624380230903625,0.08195281127623898,0.026661843656271333,False,False,False,False,False,1.0,1.2066600322723389,3.0,0.791828989982605
2015-12-06,443608,0.8664169907569885,0.8824359774589539,0.8331149816513062,0.8355000019073486,0.08032122050280942,-0.031234732771274754,False,False,False,False,False,1.0,1.2066600322723389,3.0,0.791828989982605
2015-12-07,520409,0.836322009563446,0.8507909774780273,0.7876499891281128,0.8112639784812927,0.07946220889516467,-0.029007807744737213,False,False,False,False,False,1.0,1.2066600322723389,3.0,0.791828989982605
2015-12-08,445903,0.8060240149497986,0.8236449956893921,0.7823280096054077,0.8221179842948914,0.07755494775460565,0.013379129483744201,False,False,False,False,False,1.0,1.2066600322723389,3.0,0.791828989982605
2015-12-09,624221,0.8244540095329285,0.8244540095329285,0.7704880237579346,0.7921670079231262,0.07637549965562507,-0.03643148178719546,False,False,True,False,False,1.0,1.2066600322723389,2.0,0.7921670079231262
2015-12-10,369589,0.7955899834632874,0.8615900278091431,0.7872909903526306,0.840395987033844,0.07627167654566944,0.06088233747219873,False,False,False,False,False,1.0,1.2066600322723389,3.0,0.7921670079231262
2015-12-11,801072,0.8399950265884399,0.9297620058059692,0.8197889924049377,0.9297620058059692,0.07795674338843754,0.10633798846129694,False,False,False,False,False,1.0,1.2066600322723389,4.0,0.7921670079231262
2015-12-12,1376280,0.9311959743499756,1.0453699827194214,0.9285460114479065,0.9769729971885681,0.07990010478259141,0.050777501218361554,False,False,False,True,False,1.0,1.2066600322723389,4.0,0.7921670079231262
2015-12-13,273614,0.9715380072593689,0.9893940091133118,0.9374380111694336,0.9528840184211731,0.07850289944065575,-0.024656749814698897,False,False,False,False,False,1.0,1.2066600322723389,4.0,0.7921670079231262
2015-12-14,563436,0.9566199779510498,1.013100028038025,0.9501780271530151,0.9930220246315002,0.07772385451287345,0.042122656518924106,False,False,False,False,False,1.0,1.2066600322723389,4.0,0.7921670079231262
2015-12-15,578618,0.9905890226364136,1.0288399457931519,0.9822400212287903,1.0141500234603882,0.07616765801544785,0.021276465480942752,False,True,False,False,False,1.0,1.2066600322723389,5.0,1.0141500234603882
2015-12-16,320767,1.017109990119934,1.018030047416687,0.9749270081520081,0.9911820292472839,0.07451442707790941,-0.022647531116486097,False,False,False,False,False,1.0,1.2066600322723389,4.0,1.0141500234603882
2015-12-17,640765,0.9930430054664612,0.9976109862327576,0.9118070006370544,0.9407010078430176,0.0750789050037991,-0.050930121728096966,False,False,False,False,False,1.0,1.2066600322723389,4.0,1.0141500234603882
2015-12-18,300787,0.9383270144462585,0.9394930005073547,0.9080809950828552,0.9201269745826721,0.07295596039161727,-0.02187095909200809,False,False,False,False,False,1.0,1.2066600322723389,4.0,1.0141500234603882
2015-12-19,343535,0.9215239882469177,0.9258739948272705,0.888916015625,0.9080719947814941,0.07115606133214993,-0.013101430709218764,False,False,False,False,False,1.0,1.2066600322723389,3.0,1.0141500234603882
2015-12-20,472164,0.908240020275116,0.9431849718093872,0.8994410037994385,0.903885006904602,0.06978545666603987,-0.004610854536814091,False,False,False,False,False,1.0,1.2066600322723389,3.0,1.0141500234603882
